"Orden","OS Dominante","Producto","Doble Modem","OMS E.","E. Saydot","Cod. Tec","Fac. OK ","Estado","Sin Datos","Relacionadas","Datos B_O","Error Captura","Error Subida","Diagnostico"
"184255818","","IPTV","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184255813 - RG - PSTN : DO,184255818 - MCTV - IPTV : DE,184255816 - RG - ADSL : DE,184255817 - MCTV - DTH : DE,","NO","","","Quitese no capturado"
"184232117","","IPTV","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184232117 - MCTV - IPTV : DE,184232115 - RG - ADSL : DE,184232116 - MCTV - DTH : DE,184232113 - RG - PSTN : DO,","NO","","","Quitese no capturado"
"184170755","","IPTV","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184170748 - RG - PSTN : DO,184170752 - MCTV - DTH : DE,184170755 - MCTV - IPTV : DE,184170750 - RG - ADSL : DE,","NO","","","Quitese no capturado"
"184166338","184166337","ADSL","NO","DE","PC : Pendiente de Cierre en OMS","0101:COMPLETADA OK","OK","Completadas_y_en_Proceso","NO","184166337 - R001 - PSTN : DO,184166338 - R001 - ADSL : DE,","NO","","","REPETIR CIERRE: OS: 184166338"
"184252797","","IPTV","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184252795 - RG - ADSL : DE,184252794 - RG - PSTN : DO,184252797 - MCTV - IPTV : DE,184252796 - MCTV - DTH : DE,","NO","","","Quitese no capturado"
"184233329","184233328","DTH","NO","DE","PD : Pendiente de Despacho",":","OK","Completadas_y_en_Proceso","NO","184233329 - R001 - DTH : DE,184233327 - R001 - ADSL : DO,184233328 - R001 - PSTN : DO,","NO","","",""
"184178604","184178603","ADSL","NO","DE","XC : Pendiente de Cancelar","0407:NO FEEDER","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184178604 - R001 - ADSL : DE,184178603 - R001 - PSTN : DE,","NO","","","Orden 184178604 Delivery en OMS, Cancelada en M6"
"184168689","184168688","ADSL","NO","DE","PC : Pendiente de Cierre en OMS","0101:COMPLETADA OK","OK","Completadas_y_en_Proceso","NO","184168689 - R001 - ADSL : DE,184168688 - R001 - PSTN : DO,","NO","","","REPETIR CIERRE: OS: 184168689"
"184256902","184256901","ADSL","NO","DE","PD : Pendiente de Despacho",":","OK","Completadas_y_en_Proceso","NO","184256901 - RG - IPTV : DO,184256902 - R001 - ADSL : DE,184256900 - RG - VSIP : DO,","NO","","","REPETIR CIERRE: OS: 184256902"
"184178696","","PSTN","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184178696 - R001 - PSTN : DE,184178697 - R001 - ADSL : DE,","NO","","","184178696 rebotada por SAYDOT en SOA"
"184254095","184254094","IPTV","NO","DE","PD : Pendiente de Despacho",":","OK","Completadas_y_en_Proceso","NO","184254095 - TMPI - IPTV : DE,184254094 - TMPI - PSTN : DO,184254093 - TMPI - ADSL : DE,","NO","","",""
"184254095","184254094","ADSL","NO","DE","PD : Pendiente de Despacho",":","OK","Completadas_y_en_Proceso","NO","184254095 - TMPI - IPTV : DE,184254094 - TMPI - PSTN : DO,184254093 - TMPI - ADSL : DE,","NO","","",""
"184007164","","DTH","NO","DE","XC : Pendiente de Cancelar","0211:CONDICIONES NO    PROCEDEN","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184007164 - R001 - DTH : DE,","SI","","","Orden 184007164 Delivery en OMS, Cancelada en M6"
"184215703","","DTH","NO","DE","XC : Pendiente de Cancelar","0210:CLIENTE NO LE    INTERESA","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184215703 - R001 - DTH : DE,","SI","","","Orden 184215703 Delivery en OMS, Cancelada en M6"
"184221177","184221170","IPTV","SI","DE","PD : Pendiente de Despacho",":","OK","Completadas_y_en_Proceso","NO","184221175 - TPTL - ADSL : DE,184221170 - TPTL - PSTN : DO,184221177 - TPTL - IPTV : DE,184221171 - TPTL - PSTN : DO,","NO","","","REPETIR CIERRE: OS: 184221175"
"184162544","184162543","ADSL","NO","DE","PC : Pendiente de Cierre en OMS","0101:COMPLETADA OK","OK","Completadas_y_en_Proceso","NO","184162544 - R001 - ADSL : DE,184162543 - R001 - PSTN : DO,","NO","","","REPETIR CIERRE: OS: 184162544"
"184157173","184157172","ADSL","NO","DE","PC : Pendiente de Cierre en OMS","0101:COMPLETADA OK","OK","Completadas_y_en_Proceso","NO","184157172 - R001 - PSTN : DO,184157173 - R001 - ADSL : DE,","NO","","","REPETIR CIERRE: OS: 184157173"
"184222984","","PSTN","","DO","NotFound","","NO","Completadas_Total","NO","184222984 - R001 - PSTN : DO,","SI","","",""
"184221325","","DTH","NO","DE","XC : Pendiente de Cancelar","0210:CLIENTE NO LE    INTERESA","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184221325 - R001 - DTH : DE,","SI","","","Orden 184221325 Delivery en OMS, Cancelada en M6"
"184253894","","VSIP","NO","DE","NotFound","","OK","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184253893 - R001 - ADSL : DE,184253894 - R001 - VSIP : DE,","NO","","",""
"184213822","","ADSL","SI","DE","PC: Completada",":","Error de diseño o facilidades no enviadas: 184213823","Completadas_y_en_Proceso","NO","184213822 - RC05 - IPTV : DO,184213820 - RC05 - PSTN : DO,184213821 - RC05 - ADSL : DO,184213817 - RG - DTH : DO,184213819 - RG - PSTN : DE,184213823 - R001 - ADSL : DE,","NO","","",""
"184225588","184225582","IPTV","NO","DE","TD : PENDIENTE DISEÑO TBS",":","OK","Completadas_y_en_Proceso","NO","184225582 - TPTL - VSIP : DO,184225588 - R001 - IPTV : DE,184225584 - RG - ADSL : DO,","NO","","","Facilidades OK, Estatus no Despachable"
"184214410","","PSTN","","DO","NotFound","","NO","Completadas_Total","NO","184214410 - R001 - PSTN : DO,","SI","","",""
"184115305","184115304","ADSL","NO","DE","PC : Pendiente de Cierre en OMS","0101:COMPLETADA OK","OK","Completadas_y_en_Proceso","NO","184115305 - R001 - ADSL : DE,184115304 - R001 - PSTN : DO,","NO","","","REPETIR CIERRE: OS: 184115305"
"184232102","184232103","ADSL","NO","DE","XC : Pendiente de Cancelar","0210:CLIENTE NO LE    INTERESA","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184232103 - R001 - PSTN : DE,184232102 - R001 - ADSL : DE,","NO","","","Orden 184232102 Delivery en OMS, Cancelada en M6"
